Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
Sampath Bank Card Offers,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,100832,26,1014700,100832,101118,29.75,3000,1.0028364,194,15.46391753,0.19185506,29.66830831,92,,,92,10,,,81,,,,,,,,1,0.00098894,0.00099175,1,,3000,3000,
BOC Card Offer,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,109089,23,935800,109089,109284,27.5,3000,1.00178753,379,7.91556728,0.34680283,27.451411,157,,,157,19,1,1,132,,,,,,,,4,0.00366019,0.00366673,4,,750,750,
Avurudu Asiriya Sample,Promotions,3,2023,7-day click or 1-day view,Landing page views,Consideration,309,24,905800,14703,19265,9.71,3000,1.31027681,1036,2.8957529,5.37762782,155.7228134,4330,,,4330,22,,,,3155,2262,1821,1295,1174,6535,1200,840,4.36023877,5.42066245,797,4.35504801,3.57142857,3.76411543,3.57568534
Commercial Bank Card Offers,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,127040,24,978400,127040,128198,23.61,3000,1.00911524,333,9.00900901,0.25975444,23.40130111,158,,1,158,17,1,1,135,,,,,,,,3,0.00234013,0.00236146,3,,1000,1000,
20% off,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,112256,32,1012580,112256,113773,26.72,3000,1.01351375,399,7.51879699,0.35069832,26.36829476,215,2,,213,21,2,2,161,,,,,,,,27,0.02373147,0.02405217,27,0.02021569,111.1111111,111.1111111,130.4347826
Hashtag Post,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,141600,27,987400,141600,144598,20.2,2861,1.02117232,270,10.59603704,0.18672457,19.78540505,153,1,,152,11,,,102,,,,,,,,39,0.02697133,0.02754237,39,,73.35717949,73.35717949,
Avurudu Asiriya Collection,Festive,4,2023,1-day click,Website purchases,Conversion,2,2,98700,6692,9462,1310.73,2621,1.41392708,672,3.90098214,7.10209258,277.0513634,2370,,,2370,29,4,2,,2173,1391,936,766,723,7379,719,289,3.05432255,3.54154214,237,3.02261678,9.07079585,11.06101266,9.16594406
Party Wear,Promotions,4,2023,7-day click or 1-day view,Website purchases,Conversion,3,3,147800,5558,8602,729.34,2188,1.54767902,424,5.16044811,4.92908626,254.3629389,912,2,,910,13,,,,747,390,247,197,189,2853,180,209,2.42966752,3.27455919,182,2.42966752,10.46904306,12.02214286,10.46904306
Nouveau,Work wear,6,2023,7-day click or 1-day view,Post engagements,Awareness,9227,14,525000,30088,42736,0.22,2067,1.42036692,9498,0.21764266,22.22482216,48.3706945,9227,,2,9227,392,19,16,8042,,,,,,,,756,1.76900037,2.41956926,728,0.02807937,2.73435185,2.83951923,172.2641667
Teaser for Discount,Promotions,3,2023,7-day click or 1-day view,Post engagements,Awareness,668,31,1005400,10276,14888,2.99,2000,1.44881277,685,2.91970803,4.60102096,134.3363783,668,,1,668,250,1,,383,,,,,,,,33,0.22165502,0.31140522,32,,60.60606061,62.5,
Makeup assistant,Promotions,,2023,7-day click or 1-day view,Post engagements,Awareness,2004,,0,11112,13188,1,2000,1.18682505,1572,1.27226463,11.91992721,151.6530179,2005,1,5,2004,1660,9,2,328,,,,,,,,,,,,,,,
Dress Maker ,Promotions,,2023,7-day click or 1-day view,Post engagements,Awareness,1910,,0,13472,16130,1.05,2000,1.1972981,1647,1.21432908,10.21078735,123.9925605,1910,,14,1910,1427,6,4,447,,,,,,,,12,0.07439554,0.07422803,10,,166.6666667,200,
Sales Representative,Promotions,3,2023,7-day click or 1-day view,Post engagements,Awareness,2426,32,1047500,14912,19388,0.82,2000,1.30016094,2398,0.83402836,12.36847535,103.1565917,2426,,13,2426,1477,8,9,916,,,,,,,,3,0.01547349,0.02011803,3,,666.6666667,666.6666667,
Model ,Promotions,,2023,7-day click or 1-day view,Post engagements,Awareness,2751,,0,13756,17965,0.73,2000,1.30597557,2260,0.88495575,12.5800167,111.3275814,2752,1,14,2751,2154,11,7,559,,,,,,,,6,0.03339827,0.04361733,6,,333.3333333,333.3333333,
Fashion Designer Photo,Promotions,3,2023,7-day click or 1-day view,Post engagements,Awareness,1792,17,605200,12580,16252,1.12,2000,1.29189189,1497,1.33600534,9.21117401,123.061777,1792,,7,1792,1309,8,2,466,,,,,,,,,,,,,,,
Pattern Maker,Promotions,,2023,7-day click or 1-day view,Post engagements,Awareness,1781,,0,12421,14482,1.12,2000,1.16592867,992,2.01612903,6.84988261,138.102472,1781,,4,1781,1551,5,6,214,,,,,,,,1,0.00690512,0.00805088,1,,2000,2000,
Avurudu Asiriya,Festive,3,2023,7-day click or 1-day view,Website purchases,Conversion,1,1,59600,4927,7232,1729.42,1729,1.46783032,307,5.6332899,4.24502212,239.1344027,1094,,,1094,8,,2,,1037,660,386,291,276,4994,272,117,1.61780973,2.04992896,101,1.61780973,14.78136752,17.1229703,14.78136752
Hashtag,Promotions,3,2023,7-day click or 1-day view,Post engagements,Awareness,439,11,475200,5100,6073,3.42,1500,1.19078431,181,8.28729282,2.98040507,246.9948954,439,,1,439,417,1,,11,,,,,,,,9,0.14819694,0.17647059,9,,166.6666667,166.6666667,
Card Offers,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,2146,12,496200,2146,2165,21.23,46,1.00885368,1,45.56,0.04618938,21.04387991,,,,,,,,,,,,,,,,,,,,,,,
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,259,51,1998500,137886,549515,308.88,80000,3.98528495,57896,1.38178803,10.53583615,145.5829231,53860,,13,53860,1214,78,25,48310,,,,,,,,4220,0.76794992,2.69207896,3712,0.05677734,18.95734597,21.55172414,256.4102564
Nouveau,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,245,48,1905200,81120,277299,208.16,51000,3.41838018,28810,1.77021867,10.38950735,183.9169993,26866,,17,26866,957,59,45,22739,,,,,,,,3049,1.09953516,3.11513807,2527,0.09953155,16.72679567,20.18203403,184.7826087
BelleCarri̬re,Work wear,7,2023,7-day click or 1-day view,Messaging conversations started,Consideration,195,51,2053600,67504,226632,256.41,50000,3.35731216,22012,2.27148828,9.71266194,220.6219775,20202,,11,20202,724,63,39,17425,,,,,,,,1940,0.85601327,2.43096705,1641,0.06442162,25.77319588,30.46922608,342.4657534
Mosaic,Casual wear,7,2023,7-day click or 1-day view,Messaging conversations started,Consideration,137,41,1652040,70785,248037,364.96,50000,3.50408985,22510,2.22123501,9.07525893,201.5828284,20742,,10,20742,519,28,18,18239,,,,,,,,1928,0.77730339,2.35501872,1667,0.04152606,25.93360996,29.9940012,485.4368932
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,305,55,2025700,130175,397823,142.61,43495,3.05606299,35058,1.24066148,8.81246182,109.3328189,31996,,21,31996,1007,143,25,28505,,,,,,,,2295,0.57688972,1.53562512,1999,0.07616453,18.95211765,21.75843422,143.5482178
Page Likes,Promotions,6,2023,7-day click or 1-day view,Follows or likes,Awareness,2365,17,645000,200768,590790,16.91,40000,2.94265022,9275,4.31266846,1.56993179,67.70595305,6145,2365,4,3780,996,32,4,,,,,,,,,2744,0.46446284,1.31196207,2634,,14.57725948,15.18602885,
Vogueur,Work wear,8,2023,7-day click or 1-day view,Messaging conversations started,Consideration,191,49,1968500,51298,183243,209.42,40000,3.57212757,16117,2.48185146,8.79542465,218.2893753,14398,,8,14398,548,38,26,12359,,,,,,,,1419,0.77438156,2.33732309,1199,0.06930688,28.1888654,33.36113428,314.9606299
Nuova,Casual wear,9,2023,7-day click or 1-day view,Messaging conversations started,Consideration,238,49,1965400,58711,201964,168.07,40000,3.43996866,24816,1.61186331,12.28733834,198.0550989,23067,,7,23067,628,36,16,19928,,,,,,,,2452,1.21407776,3.55810666,2089,0.08565883,16.3132137,19.14791766,231.2138728
Page Likes,Promotions,6,2023,7-day click or 1-day view,Follows or likes,Awareness,2800,15,575000,155775,427256,14.29,40000,2.74277644,10094,3.96275015,2.36251802,93.62068643,6431,2800,11,3631,908,44,9,,,,,,,,,2659,0.62234351,1.61835981,2521,,15.04324934,15.86671956,
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Landing page views,Consideration,3539,19,705000,111174,323243,11.3,40000,2.90754133,13369,2.99199641,4.13589776,123.7459125,30339,,1,30339,230,4,5,,8994,5479,3810,2896,2510,54271,4575,11759,3.63782046,8.74305143,9720,3.63627364,3.4016498,4.11522634,3.40309682
Nouveau,Work wear,6,2023,7-day click or 1-day view,Landing page views,Consideration,4431,18,714800,100000,340195,9.03,40000,3.40195,12545,3.18852132,3.68759094,117.5796235,73778,,6,73778,240,11,11,,26654,20925,15744,13261,12786,113500,20827,11050,3.2481371,8.084,8084,3.2469613,3.6199095,4.94804552,3.62122035
Mosaic,Casual wear,7,2023,7-day click or 1-day view,Website purchases,Conversion,18,18,735200,83664,219217,2222.22,40000,2.62020702,6981,5.72983813,3.1845158,182.4676006,17443,,5,17444,262,3,9,,14680,7391,4747,3415,3185,83306,3672,4343,1.98114197,4.72126602,3950,1.9793173,9.21022335,10.12658228,9.21871399
Nouveau,Work wear,6,2023,7-day click or 1-day view,Website purchases,Conversion,21,21,825000,54992,199686,1904.76,40000,3.63118272,4143,9.65483949,2.07475737,200.3144938,17828,,1,17828,211,11,7,,18968,9246,6034,4669,4428,112959,4914,1715,0.85884839,2.60037824,1430,0.85684525,23.32361516,27.97202797,23.37814144
Travail (FB),Work wear,9,2023,7-day click or 1-day view,Messaging conversations started,Consideration,181,35,1405200,35794,122786,203.08,36757,3.43035146,15486,2.3735658,12.61218706,299.3585588,14263,,11,14263,482,34,21,12030,,,,,,,,1685,1.37230629,3.79951947,1360,0.10261756,21.81426706,27.02723529,291.7225397
Sleek and Suit,Work wear,8,2023,7-day click or 1-day view,Messaging conversations started,Consideration,203,52,2095200,69168,199432,172.41,35000,2.88329864,14292,2.44892247,7.16635244,175.4984155,12498,,14,12498,494,84,26,10661,,,,,,,,1219,0.61123591,1.45587555,1007,0.07521361,28.71205906,34.75670308,233.3333333
Blossome,Work wear,5,2023,7-day click or 1-day view,Website purchases,Conversion,46,46,1835700,84991,235288,717.37,32999,2.76838724,4199,7.85881638,1.7846214,140.250119,17623,2,2,17621,165,11,8,,16069,8301,5778,4765,4497,124012,4916,1831,0.77819523,1.88961184,1606,0.77649519,18.02248498,20.54742839,18.06194308
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Website purchases,Conversion,19,19,745000,79232,195135,1661.33,31565,2.46283067,5380,5.86715056,2.75706562,161.761191,16807,,2,16807,207,7,9,,15511,8211,5380,4045,3841,84078,3895,2828,1.44925308,3.27771607,2597,1.44822815,11.16169378,12.1545129,11.16959306
Nuova (IG),Casual wear,9,2023,7-day click or 1-day view,Messaging conversations started,Consideration,85,21,837500,46797,104008,352.94,30000,2.22253563,2108,14.23149905,2.02676717,288.4393508,956,,2,956,562,52,14,,,,,,,,,326,0.31343743,0.63892985,299,,92.02453988,100.3344482,
Nouveau,Work wear,7,2023,7-day click or 1-day view,Messaging conversations started,Consideration,162,37,1496500,72400,185845,185.19,30000,2.56691989,5895,5.08905852,3.17199817,161.4248433,4449,,2,4449,223,12,5,2158,,,,,,,,2049,1.10253168,2.27624309,1648,0.0721031,14.64128843,18.2038835,223.880597
Up to 50% off- Normal Audience,Promotions,7,2023,7-day click or 1-day view,Website purchases,Conversion,121,121,4852000,32352,99502,231.4,28000,3.07560584,5821,4.81017007,5.85013367,281.4013789,5793,,2,5794,119,13,8,314,3158,1579,892,641,593,19807,541,2262,2.27332114,5.12178536,1657,2.23211594,12.37842617,16.89800845,12.60693381
Vibrant Outlook IG,Casual wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,53,13,498500,45191,92404,517.86,27447,2.04474342,1275,21.52679216,1.3798104,297.0289165,764,,,764,552,30,14,,,,,,,,,168,0.18181031,0.34741431,157,0.0010822,163.3729762,174.8194905,27446.66
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Website purchases,Conversion,11,11,432500,64310,134735,2460.73,27068,2.0950863,5331,5.07746952,3.95665566,200.8979849,18391,,3,18391,290,8,7,,23536,11838,8173,6346,6068,80047,6021,2661,1.97498794,3.68838439,2372,1.97498794,10.17211199,11.4114629,10.17211199
Travail (IG),Work wear,9,2023,7-day click or 1-day view,Messaging conversations started,Consideration,80,19,765400,32081,71098,319,25520,2.21620274,1187,21.4994861,1.66952657,358.9396326,710,,3,710,416,42,16,,,,,,,,,233,0.32771667,0.64835884,208,0.00140651,109.5274249,122.6917789,25519.89
Mosaic IG,Casual wear,7,2023,7-day click or 1-day view,Messaging conversations started,Consideration,58,21,856000,35800,74017,431.03,25000,2.06751397,1000,25,1.35104098,337.7602443,536,,3,536,351,26,5,,,,,,,,,151,0.20400719,0.40502793,145,,165.5629139,172.4137931,
BelleCarriere IG,Work wear,7,2023,7-day click or 1-day view,Messaging conversations started,Consideration,66,17,695800,34400,69592,378.79,25000,2.02302326,1321,18.92505678,1.89820669,359.2366939,715,,1,715,449,43,10,,,,,,,,,212,0.30463272,0.5755814,198,,117.9245283,126.2626263,
Nouveau IG,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,93,26,985000,36104,83050,268.82,25000,2.30029914,1460,17.12326027,1.75797712,301.0229982,942,,6,942,588,77,14,,,,,,,,,257,0.30945214,0.65643696,237,,97.27610895,105.4850633,
Travail,Work wear,9,2023,7-day click or 1-day view,Website purchases,Conversion,40,40,1625000,33561,116497,622.42,24897,3.47120169,3449,7.21850681,2.96059126,213.7104818,2061,,,2061,121,13,6,,,,,,,,,1921,1.6489695,3.94803492,1325,1.58716533,12.96024466,18.78990943,13.46491617
Blossome,Work wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,108,49,1978500,92960,231006,220.8,23847,2.4850043,16302,1.46280334,7.05695956,103.2294399,15078,,6,15078,468,39,3,13186,,,,,,,,1376,0.59565552,1.33067986,1237,0.03463114,17.33039244,19.27778496,298.08275
Sleek and Suit,Work wear,8,2023,7-day click or 1-day view,Website purchases,Conversion,13,13,536000,41896,107324,1595.64,20743,2.56167653,2464,8.41854302,2.29585181,193.2772726,13103,,,13103,97,10,7,,14811,7800,4829,3528,3360,81993,3291,783,0.72956655,1.66841703,699,0.72583951,26.49206897,29.67566524,26.62810013
Sleek and Suit IG,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,109,27,999500,48305,88417,184.45,20105,1.83039023,1257,15.99445505,1.4216723,227.3887375,861,,3,861,490,56,16,,,,,,,,,296,0.33477725,0.55894835,270,0.15042356,67.92239865,74.46307407,151.1656391
Up to 50% Off - Retargeting Audience,Promotions,7,2023,7-day click or 1-day view,Website purchases,Conversion,41,41,1675200,14648,60945,487.8,20000,4.16063626,2837,7.04970039,4.65501682,328.1647387,2887,,,2889,57,7,9,176,1681,832,452,342,316,11824,289,1029,1.68840758,5.42053523,794,1.65395028,19.43634597,25.18891688,19.84126984
Nouveau,Work wear,6,2023,7-day click or 1-day view,ThruPlay,Awareness,52815,18,705200,37568,79501,0.38,20000,2.11618931,448,44.64285714,0.56351492,251.5691627,61198,,,61198,5,1,1,,54933,53109,40272,34917,34724,76990,52815,421,0.52955309,1.07804514,405,0.52577955,47.50593824,49.38271605,47.84688995
Tropical Getaway IG,Casual wear,8,2023,7-day click or 1-day view,Messaging conversations started,Consideration,32,12,489500,27456,51640,625,20000,1.88082751,943,21.20890774,1.8261038,387.2966693,444,,1,444,299,24,4,,,,,,,,,116,0.22463207,0.40064103,110,,172.4137931,181.8181818,
Sleek and Suit IG,Work wear,8,2023,7-day click or 1-day view,Messaging conversations started,Consideration,67,24,967400,34223,61658,298.51,20000,1.80165386,1304,15.33742331,2.11489182,324.3699115,638,,7,638,353,56,25,,,,,,,,,197,0.31950436,0.50258598,172,,101.5228426,116.2790698,
Nouveau Link Click,Work wear,6,2023,7-day click or 1-day view,Link clicks,Unknown,768,29,1054700,108513,302235,26.04,20000,2.78524232,1653,12.09921355,0.54692541,66.1736728,1443,,,1443,589,74,12,,,,,,,,,768,0.2541069,0.68839678,747,,26.04166667,26.77376171,
Up to 50% OFF,Promotions,8,2023,7-day click or 1-day view,Reach,Awareness,590081,17,685000,590081,602398,33.89,20000,1.02087341,2911,6.87049124,0.48323534,33.20064144,1280,,2,1282,96,4,4,,,,,,,,,1174,0.19488777,0.19641371,1159,0.19438976,17.03577513,17.25625539,17.0794193
Up to 50% OFF Existing Audience,Promotions,8,2023,7-day click or 1-day view,Website purchases,Conversion,36,36,1475000,45184,109552,555.56,20000,2.42457507,5527,3.6185996,5.04509274,182.5617059,2507,,3,2512,118,13,11,,,,,,,,,2362,2.15605375,4.43962465,2006,2.09945962,8.46740051,9.97008973,8.69565217
Nouveau IG,Work wear,7,2023,7-day click or 1-day view,Messaging conversations started,Consideration,63,19,765400,43680,78618,317.46,20000,1.79986264,957,20.89864159,1.21727849,254.3946679,686,,2,686,465,39,10,,,,,,,,,170,0.21623547,0.37545788,164,,117.6470588,121.9512195,
BelleCarriere,Work wear,7,2023,7-day click or 1-day view,Landing page views,Consideration,6029,24,968700,86224,209648,3.32,20000,2.4314344,13731,1.45655815,6.54954972,95.39800046,20082,,3,20082,179,3,2,,3404,1833,1238,650,494,19927,2185,12799,6.10499504,13.09148265,11288,6.10499504,1.56262208,1.77179305,1.56262208
Tropical Getaway,Casual wear,8,2023,7-day click or 1-day view,Website purchases,Conversion,22,22,887400,30368,86342,909.09,20000,2.8431902,2003,9.98502247,2.31984434,231.6369785,9068,1,1,9067,69,2,4,,14026,7455,5006,3815,3616,49022,3587,726,0.84084223,2.1107745,641,0.83736768,27.54820937,31.20124805,27.66251729
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,ThruPlay,Awareness,43001,14,512000,33416,65868,0.47,20000,1.97115154,465,43.01075269,0.70595737,303.6375782,50146,,,50146,5,,,,45795,43618,30104,26907,26795,63977,43001,438,0.6649663,1.28381614,429,0.66041173,45.66210046,46.62004662,45.97701149
Nuova (FB) ,Casual wear,9,2023,7-day click or 1-day view,Landing page views,Consideration,3530,26,1038500,74476,159936,5.67,20000,2.14748375,9094,2.19925225,5.68602441,125.05002,16720,,5,16720,134,3,5,,5512,3580,2619,911,679,14801,3416,7917,4.95010504,9.84478221,7332,4.95010504,2.52620942,2.72776869,2.52620942
Sleek and Suit,Work wear,8,2023,7-day click or 1-day view,Landing page views,Consideration,1922,19,769000,70608,152117,10.41,20000,2.1543876,5543,3.60810572,3.64390568,131.4759692,19969,,2,19969,156,5,6,,7298,4280,2855,1724,1227,29998,6367,4605,3.02727506,5.94833447,4200,3.02596028,4.34304669,4.76184048,4.34493374
Mosaic,Casual wear,7,2023,7-day click or 1-day view,Landing page views,Consideration,916,23,935400,63537,171451,21.63,19815,2.69844343,2988,6.63149264,1.74277199,115.571796,14858,,1,14858,102,1,1,,10070,5732,4257,1688,1360,63122,4026,2115,1.23358861,2.98408801,1896,1.23125558,9.36874704,10.45089662,9.38649929
Page Likes,Promotions,7,2023,7-day click or 1-day view,Follows or likes,Awareness,1152,26,1058200,88977,181270,15.83,18234,2.03726806,4011,4.54589629,2.21272135,100.5880179,2801,1152,5,1649,555,9,1,,,,,,,,,1079,0.59524466,1.17895636,1049,,16.89860056,17.38187798,
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Landing page views,Consideration,1406,13,508500,75200,173354,12.63,17753,2.30523936,5176,3.4298068,2.98579785,102.4070976,34531,,1,34531,87,5,3,,25835,13958,10769,8851,7842,64941,9850,4199,2.4222112,4.65425532,3500,2.41990378,4.2278352,5.07219429,4.23186651
Nuova,Casual wear,9,2023,7-day click or 1-day view,Website purchases,Conversion,15,15,601500,26041,80970,1134,17010,3.1093276,2520,6.74997222,3.1122638,210.0769421,8026,,1,8026,102,4,8,,9220,4682,3230,2609,2492,42760,2432,1099,1.35729282,3.49448946,910,1.3511177,15.47764331,18.69223077,15.54838208
Blossome IG,Work wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,69,37,1496000,58863,98476,246.22,16989,1.67296944,1444,11.76523546,1.46634713,172.5191925,1018,,4,1018,685,68,29,,,,,,,,,232,0.2355904,0.37374921,220,,73.22844828,77.22272727,
Page Likes,Promotions,6,2023,7-day click or 1-day view,Follows or likes,Awareness,669,9,345200,89921,165812,25.15,16824,1.84397416,2929,5.74397747,1.7664584,101.4649724,1717,669,2,1048,299,3,1,,,,,,,,,743,0.44809785,0.8040391,723,,22.64348587,23.26986169,
25% OFF,Promotions,6,2023,7-day click or 1-day view,Website purchases,Conversion,19,19,745200,20447,53473,880.69,16733,2.61520027,2447,6.83817736,4.57614123,312.9246536,1118,,1,1118,34,10,2,217,,,,,,,,854,1.59706768,2.83660195,580,1.55592542,19.59370023,28.85003448,20.11180288
Page Likes,Promotions,9,2023,7-day click or 1-day view,Follows or likes,Awareness,1427,17,689500,84089,164241,11.48,16386,1.95318056,4314,3.79840751,2.62662794,99.77003306,2985,1427,1,1558,496,9,4,,,,,,,,,1048,0.63808671,1.20348678,1012,,15.63581107,16.19202569,
Tropical Getaway,Casual wear,8,2023,7-day click or 1-day view,Messaging conversations started,Consideration,103,48,1850000,31296,78522,145.63,15000,2.50901074,8120,1.84729064,10.34105092,191.0292657,7423,,,7423,190,17,5,6594,,,,,,,,617,0.78576705,1.79895194,563,0.04712055,24.31118314,26.64298401,405.4054054
Tropical Getaway Existing Audience,Casual wear,8,2023,7-day click or 1-day view,Messaging conversations started,Consideration,136,49,1874000,28768,72524,110.29,15000,2.52099555,8968,1.67261374,12.36556175,206.8280845,8450,,4,8450,290,28,5,7345,,,,,,,,778,1.07274833,2.39502225,689,0.04412332,19.28020566,21.77068215,468.75
Vogueur,Work wear,8,2023,7-day click or 1-day view,Website purchases,Conversion,10,10,415200,17450,54408,1466.72,14667,3.11793696,1387,10.57475126,2.54925746,269.5776356,6101,,,6101,45,5,3,,7391,3805,2463,1965,1866,32116,1816,562,1.03293633,2.80229226,489,1.03109837,26.09818505,29.99423313,26.14470588
Nouveau Retargeting,Work wear,7,2023,7-day click or 1-day view,Website purchases,Conversion,12,12,489500,34657,76777,1202.06,14425,2.21533889,2210,6.52699548,2.87846621,187.8773591,9435,,3,9435,105,11,9,,11592,5401,3474,2613,2467,53065,2646,883,1.15008401,2.26505468,785,1.14747906,16.33596829,18.37536306,16.37305335
Vogueur IG Contents,Work wear,8,2023,7-day click or 1-day view,Post engagements,Awareness,3579,13,532000,15948,38568,3.63,13000,2.41835967,173,75.14450867,0.44855839,337.0669986,3579,,2,3579,3502,9,1,,,,,,,,,65,0.1685335,0.40130424,64,,200,203.125,
Blossome,Work wear,5,2023,7-day click or 1-day view,Landing page views,Consideration,1630,31,1269800,79937,141302,7.58,12353,1.76766704,5230,2.36191396,3.70129227,87.42133869,19769,,5,19769,145,9,9,,9655,7075,5271,4423,4170,34704,6187,4122,2.91715616,4.51105245,3606,2.91503305,2.9968001,3.42562673,2.99898276
25% OFF,Promotions,6,2023,7-day click or 1-day view,Landing page views,Consideration,566,17,679000,38774,72556,21.66,12260,1.87125393,3015,4.06619569,4.15541099,168.9671426,1551,,,1551,61,7,8,367,,,,,,,,1108,1.52709631,2.38561923,925,1.51882684,11.06460289,13.2536,11.12484574
Up to 50% Off - New Audience,Promotions,7,2023,7-day click or 1-day view,Website purchases,Conversion,22,22,887500,32873,62032,545.45,12000,1.88701974,3193,3.75822111,5.14734331,193.4485427,2054,,,2057,38,13,5,249,762,326,170,132,124,4607,119,969,1.56209698,2.53399446,833,1.53630384,12.38390093,14.4057623,12.59181532
Page Likes,Promotions,5,2023,7-day click or 1-day view,Follows or likes,Awareness,1455,21,847200,156319,266386,8.23,11981,1.70411786,5841,2.05120014,2.1926828,44.97631257,4240,1455,12,2785,509,22,7,,,,,,,,,2235,0.83900806,1.38306924,2162,,5.36065324,5.54165587,
Travail ,Work wear,9,2023,7-day click or 1-day view,Post engagements,Awareness,32086,19,765800,102871,172612,0.31,10000,1.67794617,33530,0.29824038,19.42506894,57.93339976,32086,,6,32086,1277,64,75,27535,,,,,,,,3129,1.81273608,2.88225059,2965,0.03476004,3.19590924,3.37268128,166.6666667
Tropical Getaway video,Casual wear,8,2023,7-day click or 1-day view,Landing page views,Consideration,973,11,421500,41192,85085,10.28,10000,2.06557098,3000,3.33333333,3.52588588,117.5295293,9625,,,9625,75,4,2,,5531,3147,2419,1495,1462,15625,2353,2326,2.73373685,5.12478151,2111,2.73138626,4.29922614,4.73709143,4.30292599
Up to 50% OFF Existing Audience,Promotions,8,2023,7-day click or 1-day view,Landing page views,Consideration,2143,17,674500,54607,99611,4.67,10000,1.82414342,6481,1.54297176,6.50630954,100.3905191,2938,,4,2938,121,11,13,,,,,,,,,2789,2.79989158,4.64043071,2534,2.79788377,3.58551452,3.94632991,3.58808755
Up to 50% OFF Audience,Promotions,8,2023,7-day click or 1-day view,Landing page views,Consideration,1454,16,652800,39616,89439,6.88,10000,2.25764842,4105,2.43605359,4.58972037,111.8080479,2060,,1,2061,126,8,10,,,,,,,,,1915,2.14112412,4.26090468,1688,2.13888796,5.22193211,5.92417062,5.22739153
Nuova,Casual wear,9,2023,7-day click or 1-day view,Post engagements,Awareness,48827,23,925800,134807,259402,0.2,10000,1.92424726,50830,0.19673421,19.59506866,38.55020393,48827,,4,48827,1535,65,91,42097,,,,,,,,5035,1.94100277,3.53839192,4770,0.02621414,1.98609732,2.09643606,147.0588235
Vogueur FB,Work wear,8,2023,7-day click or 1-day view,Landing page views,Consideration,3386,19,774100,35264,106328,2.95,10000,3.01519964,7774,1.28633908,7.3113385,94.04860432,13691,,4,13691,157,11,8,,4526,3019,2212,870,708,10317,2556,7011,6.59374765,17.12227768,6038,6.59374765,1.42633005,1.65617754,1.42633005
Sleek and suit,Work wear,8,2023,7-day click or 1-day view,ThruPlay,Awareness,26156,21,832500,21031,33417,0.38,10000,1.58894014,208,48.07692308,0.62243768,299.2488853,28676,,,28676,9,1,1,,26027,22903,17326,6071,5181,32667,26156,171,0.51171559,0.79882079,168,0.50872311,58.47953216,59.52380952,58.82352941
Up to 50% OFF Retargeting,Promotions,8,2023,7-day click or 1-day view,Website purchases,Conversion,7,7,289500,15864,37859,1428.57,10000,2.38647252,2079,4.81000481,5.49142872,264.1379857,835,,1,835,50,9,3,,,,,,,,,772,2.03914525,4.15405951,659,1.98103489,12.95336788,15.17450683,13.33333333
BelleCarri̬re Link Click,Work wear,7,2023,7-day click or 1-day view,Link clicks,Unknown,243,43,1725890,45018,87886,41.15,10000,1.95224133,641,15.60062402,0.72935394,113.7837653,382,,,382,131,8,,,,,,,,,,243,0.27649455,0.53089875,239,,41.15226337,41.84100418,
Vibrant Outlook Link click,Casual wear,6,2023,7-day click or 1-day view,Link clicks,Unknown,428,49,1805000,68494,127860,23.36,10000,1.86673285,908,11.01321586,0.71015173,78.21054278,820,,,820,356,30,6,,,,,,,,,428,0.33474112,0.59859258,410,,23.36448598,24.3902439,
25% OFF,Promotions,6,2023,7-day click or 1-day view,Reach,Awareness,289143,21,820000,289143,305347,34.58,10000,1.05604147,729,13.71742112,0.23874477,32.74962584,404,,1,404,30,,,296,,,,,,,,77,0.02521721,0.02663042,77,0.02521721,129.8701299,129.8701299,129.8701299
