Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
Suave Link Click,Workwear,12,2022,7-day click or 1-day view,Link clicks,Unknown,822,61,2589500,25088,39379,1.96,1612,1.56963489,1071,1.50558357,2.71972371,40.94771325,839,,,839,14,1,2,,,,,,,,,822,2.08740699,2.84996811,715,0.09649813,1.9616545,2.25521678,42.43368421
Suave,Workwear,12,2022,7-day click or 1-day view,Post engagements,Awareness,5658,29,1187500,17132,25503,0.26,1486,1.48861779,5759,0.25805175,22.58165706,58.27236011,5660,2,1,5658,194,9,6,5093,,,,,,,,355,1.3919931,2.02544945,347,0.02744775,4.18625352,4.28276657,212.3028571
MintPay 15%OFF,Promotions,11,2022,7-day click or 1-day view,Website purchases,Conversion,2,2,78500,2999,4815,658.31,1317,1.60553518,286,4.60353147,5.93977155,273.4392523,106,,,106,3,,,,,,,,,,,103,2.13914849,3.20106702,96,2.09761163,12.78262136,13.7146875,13.03574257
Teentastic Link Clic,Casual wear,11,2022,7-day click or 1-day view,Link clicks,Unknown,380,36,1045200,30841,33772,2.63,1000,1.09503583,452,2.21238938,1.33838683,29.61032808,384,,,384,4,,,,,,,,,,,380,1.12519247,1.18024707,364,0.01184413,2.63157895,2.74725275,250
giveaway,Promotions,11,2022,7-day click or 1-day view,Landing page views,Consideration,119,27,955000,4376,7033,8.4,1000,1.6071755,391,2.55754476,5.55950519,142.1868335,167,,,167,7,,,,,,,,,,,160,2.27498934,3.29067642,144,2.27498934,6.25,6.94444444,6.25
Black Friday Giveaway,Promotions,11,2022,7-day click or 1-day view,Post engagements,Awareness,300,21,640000,3024,3869,3.33,1000,1.27943122,100,10,2.5846472,258.4647196,300,,,300,277,3,,,,,,,,,,20,0.51692944,0.62830688,19,,50,52.63157895,
Work Wear Collection,Workwear,10,2022,7-day click or 1-day view,Post engagements,Awareness,4551,17,758560,18389,24158,0.22,1000,1.31372016,4637,0.21565667,19.19446974,41.39415515,4551,,1,4551,163,6,1,4156,,,,,,,,224,0.92722908,1.15830116,213,0.04139416,4.46428571,4.69483568,100
Memoir of Grace Link Click,Party wear,10,2022,7-day click or 1-day view,Link clicks,Unknown,443,30,1220560,12999,16292,2.26,1000,1.25332718,710,1.4084507,4.3579671,61.37981832,465,,,465,18,,4,,,,,,,,,443,2.71912595,2.93099469,381,0.22710533,2.25733634,2.62467192,27.02702703
Elegance and Ease Link click,Promotions,10,2022,7-day click or 1-day view,Link clicks,Unknown,314,26,950400,12859,15924,3.18,1000,1.23835446,580,1.72410345,3.64230093,62.79703592,361,,,361,39,7,1,,,,,,,,,314,1.97186637,2.30966638,297,0.10047727,3.18464968,3.36693603,62.49875
Flowy Florals (FB),Casual wear,8,2022,7-day click or 1-day view,Messaging conversations started,Consideration,1,1,65200,25,25,8.18,8,1,7,1.16857143,28,327.2,6,,,6,,,,3,,,,,,,,3,12,8,2,,2.72666667,4.09,
Flowy Floral (IG),Casual wear,8,2022,7-day click or 1-day view,,Unknown,,,0,2,2,,0,1,0,,0,60,,,,,,,,,,,,,,,,,,,,,,,
Charming Look,Casual wear,1,2023,7-day click or 1-day view,Messaging conversations started,Consideration,201,38,1516980,88176,412265,398.01,80000,4.67547859,34010,2.35224934,8.24954823,194.0499436,29892,39,3,29853,692,39,15,2252,,,,,,,,26852,6.51328636,21.28470332,18768,0.03347362,2.97929391,4.2625746,579.7101449
Blossome,Work wear,5,2023,7-day click or 1-day view,Website purchases,Conversion,91,91,3745820,120032,512465,879.12,80000,4.26940316,11058,7.2345813,2.1578059,156.108222,39141,2,7,39139,493,43,36,,38672,20152,14329,11868,11263,241256,11817,5160,1.00689803,3.51239669,4216,1.00514181,15.50387597,18.97533207,15.53096486
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,258,31,1257400,137886,549515,310.08,80000,3.98528495,57896,1.38178803,10.53583615,145.5829231,53860,,13,53860,1214,78,25,48310,,,,,,,,4220,0.76794992,2.69207896,3712,0.05677734,18.95734597,21.55172414,256.4102564
Blossome,Work wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,552,41,1605780,171585,648071,144.93,80000,3.77696768,61268,1.30573872,9.45390243,123.4432647,57038,,33,57038,1993,132,37,49353,,,,,,,,5490,0.8471294,2.748492,4716,0.05385212,14.571949,16.96352841,229.226361
Dazzling Delights,Party wear,2,2023,7-day click or 1-day view,Messaging conversations started,Consideration,174,37,1489500,100926,305800,373.56,65000,3.02994273,29927,2.17195175,9.78646174,212.557227,27146,15,8,27131,924,50,31,23450,,,,,,,,2668,0.87246566,2.29574143,2317,0.05199477,24.36281859,28.05351748,408.8050315
Avurudu Asiriya,Festive,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,495,51,1952000,113280,357709,121.21,60000,3.15774188,67357,0.89077601,18.83011051,167.7341079,61992,19,29,61973,1628,129,45,53127,,,,,,,,7015,1.96109128,4.98411017,5646,0.13139172,8.5531005,10.62699256,127.6595745
Casual Fusion,Casual wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,347,41,1458900,62272,272521,172.91,60000,4.37630075,48006,1.24984377,17.61552321,220.1665193,44715,15,11,44700,883,52,35,39184,,,,,,,,4535,1.66409194,5.70400822,3552,0.12989825,13.23042999,16.89189189,169.4915254
Urban Ease,Casual wear,2,2023,7-day click or 1-day view,Messaging conversations started,Consideration,115,28,1125400,53936,192400,445.2,51198,3.56719074,18959,2.70048104,9.8539501,266.1040541,17439,7,6,17432,524,19,19,15284,,,,,,,,1580,0.82120582,2.50852863,1353,0.06133056,32.40406329,37.84066519,433.8849153
White Collection,White,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,402,43,1782500,104607,302016,124.38,50000,2.88714904,37099,1.34774522,12.28378629,165.5541428,34232,8,24,34224,1040,129,44,28688,,,,,,,,4299,1.42343452,3.59440573,3760,0.06257947,11.63061177,13.29787234,264.5502646
Enchante,Party wear,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,301,31,1267410,115264,369418,166.11,50000,3.20497293,43993,1.13654445,11.90873211,135.3480339,40064,15,17,40049,1155,164,51,34052,,,,,,,,4610,1.24790887,3.22216824,3714,0.06442566,10.84598698,13.46257404,210.0840336
Revamp Collection,Work wear,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,342,37,1495200,96640,367181,146.2,50000,3.79947227,49269,1.01483692,13.41817796,136.1726233,46518,11,23,46507,1027,57,39,41688,,,,,,,,3673,1.00032409,3.1477649,3042,0.08034185,13.61285053,16.4365549,169.4915254
Elegance and Ease IG ,Work wear,1,2023,7-day click or 1-day view,Messaging conversations started,Consideration,54,19,754850,72368,168605,833.33,45000,2.3298281,1443,31.18503119,0.85584651,266.8959995,1165,,5,1165,794,75,14,,,,,,,,,277,0.16428932,0.3634203,263,,162.4548737,171.1026616,
Avurudu Asiriya IG,Festive,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,229,35,1258500,73728,177381,196.51,45000,2.40588379,3302,13.62810418,1.8615297,253.6912071,1579,,6,1580,887,115,55,,,,,,,,,516,0.29089925,0.63340929,467,,87.20930233,96.35974304,
Charming Look IG,Promotions,11,2023,7-day click or 1-day view,Messaging conversations started,Consideration,97,41,1655800,68960,174865,463.92,45000,2.53574536,3871,11.62490313,2.21370772,257.3413776,1762,,3,1762,1163,93,22,,,,,,,,,481,0.27506934,0.65835267,454,,93.55509356,99.11894273,
Blossome IG,Work wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,221,27,1045890,89168,226421,203.62,45000,2.53926296,3901,11.53550372,1.72289673,198.7448161,2906,,9,2906,1863,239,76,,,,,,,,,719,0.31755005,0.71998923,642,,62.58692629,70.09345794,
Revamp Collection IG,Work wear,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,108,26,1058200,72288,186588,416.67,45000,2.5811753,2741,16.41736592,1.46901194,241.1730658,1375,,6,1375,875,95,30,,,,,,,,,369,0.19776191,0.47587428,344,,121.9512195,130.8139535,
Casual Fusion (IG),Casual wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,160,22,654880,55506,146686,281.25,45000,2.64270529,3381,13.30967169,2.30492344,306.7777429,1292,,6,1292,720,75,31,,,,,,,,,460,0.31359503,0.75127013,417,,97.82608696,107.9136691,
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,305,33,1357000,130175,397823,142.61,43495,3.05606299,35058,1.24066148,8.81246182,109.3328189,31996,,21,31996,1007,143,25,28505,,,,,,,,2295,0.57688972,1.53562512,1999,0.07616453,18.95211765,21.75843422,143.5482178
Mellow FB,Casual wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,266,26,1004850,95408,302121,150.38,40000,3.16662125,28535,1.40178728,9.44489129,132.3972845,26876,1,5,26875,756,39,27,23715,,,,,,,,2333,0.77220716,2.18011068,2080,0.04170514,17.14530647,19.23076923,317.4603175
Enchante,Party wear,5,2023,7-day click or 1-day view,Landing page views,Consideration,3256,33,1285200,144692,444112,12.29,40000,3.06936113,14405,2.77681361,3.24355118,90.06737039,156979,1,18,156978,996,130,94,,44563,26941,18730,12320,10869,332233,39768,8420,1.89591815,4.69963785,6800,1.8898386,4.75059382,5.88235294,4.76587633
Boss Lady,Work wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,379,19,597400,108544,335703,105.54,40000,3.09278265,53176,0.75221905,15.84019207,119.1529417,50497,14,30,50483,1399,105,74,44472,,,,,,,,4403,1.31157601,3.41244104,3704,0.09949271,9.08471497,10.79913607,119.760479
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Landing page views,Consideration,3539,21,857400,111174,323243,11.3,40000,2.90754133,13369,2.99199641,4.13589776,123.7459125,30339,,1,30339,230,4,5,,8994,5479,3810,2896,2510,54271,4575,11759,3.63782046,8.74305143,9720,3.63627364,3.4016498,4.11522634,3.40309682
Page Likes,Promotions,6,2023,7-day click or 1-day view,Follows or likes,Awareness,2800,11,449600,155775,427256,14.29,40000,2.74277644,10094,3.96275015,2.36251802,93.62068643,6431,2800,11,3631,908,44,9,,,,,,,,,2659,0.62234351,1.61835981,2521,,15.04324934,15.86671956,
